emotion_keyword,emotion_groups
anger,angry
angry,angry
annoyed,angry
bitter,angry
enraged,angry
ferocious,angry
fight,angry
furious,angry
hateful,angry
heated,angry
hot,angry
infuriated,angry
irate,angry
irritated,angry
offend,angry
offended,angry
outrage,angry
outraged,angry
protest,angry
protested,angry
protesting,angry
rage,angry
serious,angry
sore,angry
wrath,angry
raging,angry
wild,angry
mad,angry
maddened,angry
stormy,angry
violent,angry
untamed,angry
fierce,angry
angered,angry
crazy,angry
raving,angry
barbaric,angry
wrathful,angry
sullen,angry
resentful,angry
pissed,angry
agitating,angry
agitated,angry
disgruntled,angry
violence,angry
piqued,angry
fuck,angry
hates,angry
suck,angry
sucks,angry
kicking,angry
kicked,angry
yelled,angry
fucks,angry
fighting,angry
adorable,delighted
amazing,delighted
attractive,delighted
awesome,delighted
baked,delighted
beautiful,delighted
beloved,delighted
best,delighted
better,delighted
bright,delighted
celebrate,delighted
charming,delighted
cheerful,delighted
cutest,delighted
delight,delighted
delighted,delighted
delightful,delighted
eat,delighted
eating,delighted
ecstatic,delighted
elated,delighted
enchanted,delighted
enjoyed,delighted
enjoying,delighted
enjoys,delighted
euphoric,delighted
excellent,delighted
fabulous,delighted
famed,delighted
fan,delighted
fantastic,delighted
fulfilled,delighted
gifted,delighted
glad,delighted
gorgeous,delighted
grand,delighted
gratified,delighted
great,delighted
honor,delighted
iconic,delighted
impressed,delighted
inspired,delighted
jolly,delighted
joy,delighted
joyous,delighted
jubilant,delighted
like,delighted
lovely,delighted
nice,delighted
outstanding,delighted
overwhelming,delighted
perfect,delighted
pleasant,delighted
pleasing,delighted
pretty,delighted
recommend,delighted
smiling,delighted
super,delighted
surprised,delighted
sweet,delighted
taste,delighted
wonderful,delighted
precious,delighted
priceless,delighted
appreciates,delighted
complimented,delighted
decoration,delighted
proud,delighted
pure,delighted
treat,delighted
delicious,delighted
appreciate,delighted
celebrating,delighted
bless,delighted
thankful,delighted
grateful,delighted
boosts,delighted
cheer,delighted
treats,delighted
favourite,delighted
divine,delighted
benefits,delighted
awful,disappointed
bad,disappointed
break,disappointed
broken,disappointed
cheap,happy
complaining,disappointed
defeated,disappointed
defective,disappointed
depressed,disappointed
despondent,disappointed
dirty,disappointed
disappoint,disappointed
disappointed,disappointed
disappointing,disappointed
dismayed,disappointed
distressed,disappointed
expensive,disappointed
forget,disappointed
frustate,disappointed
frustated,disappointed
gone,disappointed
hate,disappointed
horrible,disappointed
jealous,disappointed
killed,disappointed
leave,disappointed
miserable,disappointed
missing,disappointed
pessimistic,disappointed
poor,disappointed
rid,disappointed
shame,disappointed
shocked,disappointed
shuttered,disappointed
shuttering,disappointed
smells,disappointed
terrible,disappointed
throw,disappointed
tried,hopeful
trying,hopeful
upset,disappointed
useless,disappointed
waste,disappointed
worst,disappointed
worthless,disappointed
wrong,disappointed
fucking,disappointed
hurts,disappointed
threw,disappointed
mental,disappointed
shit,disappointed
spit,disappointed
killing,disappointed
kill,disappointed
disgusting,disappointed
ruin,disappointed
dislike,disappointed
piss,disappointed
complain,disappointed
shitty,disappointed
nasty,disappointed
awakened,excited
bestselling,excited
bets,excited
charged,excited
clapping,excited
craziness,excited
crazy,excited
eager,excited
enthusiastic,excited
excite,excited
excited,excited
eyeing,excited
hysterical,excited
interest,excited
interested,excited
keen,excited
magical,excited
possibilities,excited
read,excited
seeking,excited
stimulate,excited
surprise,excited
think,excited
thrilled,excited
wonder,excited
activated,excited
stirred,excited
stimulated,excited
exciting,excited
expectations,excited
crave,excited
wanting,excited
wondering,excited
winning,excited
boost,excited
interesting,excited
stimulates,excited
absolutely,happy
advantage,happy
allowing,happy
announce,happy
announced,happy
announces,happy
apply,happy
appropriate,happy
arrive,happy
arrived,happy
begun,happy
bigger,happy
blush,happy
bringing,happy
brings,happy
building,happy
built,happy
clear,happy
colorful,happy
complete,happy
constructed,happy
content,happy
cool,happy
correct,happy
crafted,happy
create,happy
creative,happy
creativity,happy
crisp,happy
cuddle,happy
cute,happy
dance,happy
danced,happy
dancing,happy
darling,happy
decorate,happy
delivered,happy
describes,happy
designed,happy
donates,happy
durable,happy
encourages,happy
endless,happy
enjoy,happy
enough,happy
exceeded,happy
exists,happy
expanding,happy
expected,happy
explore,happy
famous,happy
favorite,happy
featured,happy
feels,happy
finding,happy
fine,happy
fit,happy
fits,happy
flagship,happy
flashed,happy
followed,happy
free,happy
full,happy
fun,happy
future,happy
giant,happy
gift,happy
gifts,happy
given,happy
gives,happy
glimpse,happy
goes,happy
golden,happy
good,happy
got,happy
greeted,happy
grow,happy
handsome,happy
happily,happy
happiness,happy
happy,happy
high,happy
hired,happy
hit,happy
holds,happy
huge,happy
hugging,happy
ideal,happy
include,happy
includes,happy
incredible,happy
kind,happy
kinds,happy
large,happy
larger,happy
lasted,happy
lead,happy
leading,happy
leads,happy
learned,happy
learning,happy
lifesized,happy
light,happy
lightweight,happy
liked,happy
likes,happy
lively,happy
looked,happy
lot,happy
love,happy
loved,happy
loves,happy
loving,happy
many,happy
memories,happy
memory,happy
merry,happy
much,happy
need,happy
offer,happy
offered,happy
original,happy
picked,happy
picks,happy
play,happy
played,happy
playing,happy
plays,happy
pleased,happy
plenty,happy
pop,happy
popular,happy
power,happy
present,happy
presents,happy
quality,happy
quick,happy
raising,happy
ready,happy
received,happy
recieved,happy
relying,happy
renovate,happy
reopened,happy
resonates,happy
revived,happy
rise,happy
see,happy
selling,happy
sells,happy
shopping,happy
smooth,happy
social,happy
spark,happy
sparks,happy
special,happy
staging,happy
stays,happy
sturdy,happy
talented,happy
thing,happy
toys,happy
unveil,happy
unveils,happy
variety,happy
vote,happy
want,happy
wants,happy
welcome,happy
willing,happy
wins,happy
working,happy
works,happy
worth,hopeful
curest,happy
enticing,happy
funded,happy
higher,happy
improving,happy
intact,happy
support,happy
supported,happy
survived,happy
thank,happy
organic,happy
prefer,happy
choose,happy
featuring,happy
offers,happy
supporting,happy
providing,happy
agree,happy
offering,happy
fair,happy
natural,happy
well,happy
tasty,happy
thanks,happy
top,happy
invited,happy
helped,happy
invite,happy
creates,happy
allow,happy
care,happy
relax,happy
awake,happy
allows,happy
contribute,happy
stainless,happy
donating,happy
allowed,happy
fancy,happy
relaxing,happy
satisfy,happy
engage,happy
liking,happy
growing,happy
gain,happy
yummy,happy
indulge,happy
friendly,happy
convenient,happy
acquired,happy
unite,happy
goodmorning,happy
funny,happy
improves,happy
reminiscing,happy
laugh,happy
celebrates,happy
successful,happy
enhances,happy
facilitate,happy
boasts,happy
added,hopeful
keep,hopeful
keeps,hopeful
purchasing,hopeful
uses,hopeful
accept,hopeful
accepted,hopeful
accepting,hopeful
ate,hopeful
bake,hopeful
believe,hopeful
believing,hopeful
belongs,hopeful
brought,hopeful
buying,hopeful
click,hopeful
consider,hopeful
consume,hopeful
consumed,hopeful
convince,hopeful
convinced,hopeful
encourage,hopeful
expect,hopeful
faithful,hopeful
familiar,hopeful
follows,hopeful
guide,hopeful
hope,hopeful
hopeful,hopeful
joins,hopeful
learn,hopeful
listening,hopeful
new,hopeful
possible,hopeful
presuming,hopeful
promote,hopeful
purchase,hopeful
really,hopeful
referred,hopeful
role,hopeful
soft,hopeful
sure,hopeful
took,hopeful
trust,hopeful
trusting,hopeful
trustworthy,hopeful
try,hopeful
use,hopeful
visit,hopeful
worked,hopeful
access,hopeful
initiative,hopeful
launch,hopeful
makes,hopeful
getting,hopeful
live,hopeful
found,hopeful
save,hopeful
stay,hopeful
helps,hopeful
survive,hopeful
sustainable,hopeful
wish,hopeful
raise,hopeful
continue,hopeful
buys,hopeful
continues,hopeful
adds,hopeful
swear,hopeful
included,hopeful
supports,hopeful
involves,hopeful
keeping,hopeful
hoping,hopeful
select,hopeful
wishing,hopeful
launches,hopeful
fill,neutral
find,neutral
provide,neutral
realistic,neutral
add,neutral
adding,neutral
addition,neutral
amount,neutral
appeal,neutral
applications,neutral
ask,neutral
assemble,neutral
available,neutral
back,neutral
big,neutral
bit,neutral
bought,neutral
bring,neutral
build,neutral
buy,neutral
calling,neutral
came,neutral
change,neutral
classic,neutral
close,neutral
closed,neutral
closes,neutral
closing,neutral
collect,neutral
come,neutral
comes,neutral
competitive,neutral
continued,neutral
couple,neutral
created,neutral
debut,neutral
delicate,neutral
design,neutral
developed,neutral
different,neutral
discover,neutral
discuss,neutral
displayed,neutral
drop,neutral
easy,neutral
eject,neutral
experience,neutral
experiences,neutral
face,neutral
features,neutral
fifth,neutral
follow,neutral
gave,neutral
get,neutral
gets,neutral
give,neutral
go,neutral
going,neutral
gotten,neutral
hard,neutral
hear,neutral
help,neutral
hold,neutral
hours,neutral
idea,neutral
images,neutral
imitate,neutral
jumping,neutral
kids,neutral
know,neutral
led,neutral
less,neutral
made,neutral
make,neutral
making,neutral
met,neutral
move,neutral
moving,neutral
needed,neutral
needs,neutral
neutral,neutral
nothing,neutral
number,neutral
ok,neutral
old,neutral
oldest,neutral
one,neutral
open,neutral
opened,neutral
opening,neutral
opens,neutral
order,neutral
ordered,neutral
packaged,neutral
part,neutral
pick,neutral
piece,neutral
place,neutral
plastic,neutral
plotting,neutral
posted,neutral
price,neutral
purchased,neutral
put,neutral
puts,neutral
putting,neutral
ran,neutral
real,neutral
remember,neutral
reopens,neutral
replace,neutral
resurrected,neutral
returned,neutral
rolling,neutral
run,neutral
said,neutral
saw,neutral
say,neutral
says,neutral
seem,neutral
seems,neutral
sell,neutral
send,neutral
sent,neutral
serve,neutral
several,neutral
share,neutral
shown,neutral
sit,neutral
size,neutral
solid,neutral
stand,neutral
stick,neutral
store,neutral
stretches,neutral
submit,neutral
supposed,neutral
take,neutral
takes,neutral
tell,neutral
tells,neutral
thought,neutral
toy,neutral
tries,hopeful
turn,neutral
tweet,neutral
used,neutral
using,neutral
walking,neutral
wanted,neutral
watch,neutral
way,neutral
weigh,neutral
weighing,neutral
went,neutral
whats,neutral
win,neutral
winniethepooh,neutral
work,neutral
wrote,neutral
ever,neutral
existed,neutral
handing,neutral
ordinary,neutral
quite,neutral
respond,neutral
feel,neutral
thinking,neutral
feeling,neutral
happens,neutral
realize,neutral
happen,neutral
felt,neutral
knew,neutral
talked,neutral
reminds,neutral
busy,neutral
okay,neutral
begging,sad
blocks,sad
blue,sad
broke,sad
changing,sad
crying,sad
die,sad
died,sad
difficult,sad
drops,sad
ends,sad
fall,sad
falling,sad
falls,sad
fell,sad
heavy,sad
hurt,sad
junk,sad
last,sad
leaving,sad
loses,sad
lost,sad
low,sad
miss,sad
obsessed,sad
paid,sad
poach,sad
relocate,sad
replaced,sad
return,sad
ripped,sad
sad,sad
shrinking,sad
shuts,sad
shutting,sad
small,sad
smaller,sad
snap,sad
sorry,sad
spend,sad
spent,sad
stealing,sad
stolen,sad
stuck,sad
stupid,sad
tears,sad
tiny,sad
trapped,sad
venerable,sad
absence,sad
accidentally,sad
bankrupt,sad
addicted,sad
ill,sad
late,sad
missed,sad
alone,sad
avoid,sad
reduce,sad
tired,sad
leaves,sad
weird,sad
sick,sad
skip,sad
losing,sad
worry,sad
shut,sad
regret,sad
never,sad
costs,sad
remove,sad
blame,sad
steal,sad
issues,sad
dead,sad
weak,sad
suffer,sad
freaking,sad
gross,sad
actually,hopeful
avoiding,sad
annoying,disappointed
avoided,disappointed
awlful,angry
acceptable,hopeful
avoids,sad
absconded,sad
avid,happy
argued,angry
abolishing,sad
aspire,delighted
rich,happy
bold,delighted
fresh,delighted
flavorful,delighted
decent,happy
drank,hopeful
cheaper,happy
right,happy
carry,hopeful
robust,happy
always,hopeful
reasonable,happy
expired,sad
stale,disappointed
consistent,happy
pricey,disappointed
damaged,disappointed
prefers,happy
loose,sad
expire,sad
realized,neutral
fav,happy
subscribe,hopeful
considering,hopeful
beware,sad
satisfied,delighted
thrown,sad
expecting,happy
enjoyable,delighted
expires,sad
recommended,hopeful
fake,sad
affordable,happy
bother,sad
satisfying,delighted
lacks,sad
intense,neutral
afford,happy
satisfies,delighted
aromatic,delighted
authentic,delighted
refreshing,delighted
preferred,happy
issue,sad
superior,delighted
lacked,sad
leaked,sad
greatest,delighted
average,hopeful
truly,happy
overpowering,happy
subscribed,hopeful
wasted,sad
leak,sad
improve,hopeful
concerned,sad
cancel,sad
terrific,happy
unfortunately,disappointed
unpleasant,disappointed
helpful,happy
ruined,disappointed
misleading,disappointed
mess,angry
reliable,happy
noticeable,neutral
loyal,happy
pleasantly,delighted
outdated,sad
inexpensive,happy
lack,sad
hated,angry
healthy,happy
hesitant,sad
disappoints,disappointed
deceptive,disappointed
