review_link,author,title,date,usefullness,body,Name,Review_Link_Href,Review_Count,linkset,linkset2,variable,Final_link
https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/product-reviews/B075RCWPT5/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,"""tbones""",Was enjoyed by all.,"Reviewed in the United States on December 13, 2019",Helpful,This was a gift for my parents. To give them a break.,Fully Cooked Smoked Ham Meal from Kansas City Steaks,https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/product-reviews/B075RCWPT5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,['https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/product-reviews/B075RCWPT5/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1'],https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/product-reviews/B075RCWPT5/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,0,https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/product-reviews/B075RCWPT5/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Customer reply,Nothing special you could not find locally,"Reviewed in the United States on January 8, 2020",Helpful,Nothing special you could not find locally or elsewhere,"365 Everyday Value Spiral Sliced Ham, 7-10 lbs",https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4,['https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1'],https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,0,https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Queen Cunningham Rose,Very Good.,"Reviewed in the United States on March 9, 2020",Helpful,This ham were very fresh and extremely good.,"365 Everyday Value Spiral Sliced Ham, 7-10 lbs",https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4,['https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1'],https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,0,https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Amazon Customer,Great Quality.,"Reviewed in the United States on January 7, 2013",2 people found this helpful,The ham and turkey got rave reviews from all my guests. The turkey was moist and delicious. The ham was great. I would buy again. Very well packaged with dry ice even though it was pre-cooked.,Half Spiral Ham & Whole Smoked Turkey (8-10 lbs. each),https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3,['https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1'],https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,0,https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Doreen R. Olds,Five Stars,"Reviewed in the United States on February 3, 2015",Helpful,This Christmas present was a great success,Half Spiral Ham & Whole Smoked Turkey (8-10 lbs. each),https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3,['https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1'],https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,0,https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Jeanie Reams,Five Stars,"Reviewed in the United States on December 1, 2014",Helpful,Wonderful!,Half Spiral Ham & Whole Smoked Turkey (8-10 lbs. each),https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3,['https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1'],https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,0,https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,none,Waste of money,"Reviewed in the United States on December 11, 2017",5 people found this helpful,"The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm. So, the forest animals got a holiday snack!

The portion sizes in the picture also look much larger than in real life. Save your money. This one is a no go...",Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Kindle Customer,Received delivery promptly,"Reviewed in the United States on December 13, 2018",One person found this helpful,"Once again a quality product that was delivered fresh to door, the only problem I have is there was no way to indicate with this order that this was gift item and who the recipient was. I am very pleased with the quality of the item to my grandchildren, they plan on having a big breakfast for friends on Christmas day. there should however be a way on the order to let the buyer indicate gift and who from.",Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Linda Rios-Anderzak,Great quality,"Reviewed in the United States on January 13, 2020",One person found this helpful,I send this to my daughter & family every year and they love it for their Christmas morning breakfast...a big hit year after year. Thanks again see you next year,Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Amazon Customer,Breakfast from Mom and Dad,"Reviewed in the United States on December 13, 2016",3 people found this helpful,"I also sent the Breakfast Batter Bowl Gift to my daughter who is 8 months pregnant and her husband made the pancakes and breakfast sausage links for them....they couldn't wait another minute ! They love the bacon and ham -- the two item together just made their morning so special !!! It made us ""mom and dad"" feel good to know they had a great meal and had more to last them a few more days 😊❤️They were so excited to get it.",Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,John P.,good taste,"Reviewed in the United States on September 12, 2019",One person found this helpful,would buy again,Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,LOUISE ENNICO,Two Stars,"Reviewed in the United States on February 9, 2018",3 people found this helpful,Gave it as a gift they didn't like it,Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Alice Perales,Happy,"Reviewed in the United States on January 20, 2020",One person found this helpful,Good stuff,Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Nora H.,Yummy,"Reviewed in the United States on March 14, 2019",One person found this helpful,Loved everything#,Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,Angela Ring,Do not purchase,"Reviewed in the United States on December 17, 2019",One person found this helpful,Would not recommend. Bought two for gifts. Neither came in ice. One of them was thrown randomly in box not even gift basket.,Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"['https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2', 'https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3']",https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2|https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,0,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1
